FileName,Author,GENDER,Paper_Language,Paper_Subject,involvement_rate,informational_rate,iir
1,Raf De Bont,M,EN,HIS,0.057388541,0.492569399,0.116508539
2,Siobhán Hearne,F,EN,HIS,0.051318338,0.473633249,0.10835037
3,Elizabeth Banks,F,EN,HIS,0.050581846,0.468037238,0.108072269
4,BjörnQuanjer,M,EN,HIS,0.027290448,0.574832142,0.047475509
5,LeonardKuki?,M,EN,HIS,0.029613518,0.570854944,0.051875733
6,Laura Panza,F,EN,HIS,0.034999129,0.579488072,0.060396635
7,Xuesheng You,M,EN,HIS,0.036722703,0.572058103,0.064194009
8,Mattia Viale,M,EN,HIS,0.032106373,0.709096806,0.045277841
9,Björn Quanjer,M,EN,HIS,0.027290448,0.574832142,0.047475509
10,Safya Morshed,F,EN,HIS,0.040744541,0.569544189,0.071538857
11,Andrea Papadia,M,EN,HIS,0.036881811,0.590947192,0.062411348
12,David Edgerton,M,EN,HIS,0.04045966,0.582475461,0.06946157
13,Sara Horrell,F,EN,HIS,0.040770102,0.617025293,0.066075252
14,Alexander J. Field,M,EN,HIS,0.04087498,0.584065144,0.069983598
15,ROMOLA J. DAVENPORT,F,EN,HIS,0,0,0.115033902
16,Maanik Nath,M,EN,HIS,0.029261414,0.606733651,0.048227775
17,Mary A. O’Sullivan,F,EN,HIS,0.056208426,0.553658537,0.101521826
18,Marina Chuchko,F,EN,HIS,0.029217284,0.634168845,0.046071775
19,Mattia C. Bertazzini,M,EN,HIS,0.028993828,0.586909717,0.049400831
20,Emiliano Travieso,M,EN,HIS,0.043382478,0.589900017,0.073542086
21,John D. Turner,M,EN,HIS,0,0,0.12173913
22,Brian D. Varian,M,EN,HIS,0.022695433,0.589240684,0.038516405
23,Michail Raftakis,M,EN,HIS,0.035729847,0.563108206,0.063451122
24,PHILIP SLAVIN,M,EN,HIS,0,0,0.111704431
25,CORINNE BOTER,F,EN,HIS,0,0,0.108947457
1,ENDEL TULVING,M,EN,PSY,0,0,0.157287949
2,E. KEVIN KELLOWAY,M,EN,PSY,0.065847666,0.471007371,0.126693767
3,Tony Xing Tan,M,EN,PSY,0,0,0.119241192
4,Emre Han Alpay,M,EN,PSY,0,0,0.111288605
5,Patricia J. Bauer,F,EN,PSY,0,0,0.122060553
6,Karen Tocatly,F,EN,PSY,0,0,0.252479024
7,Morris N. Eagle,F,EN,PSY,0,0,0.191985511
8,Diane Ehrensaft,F,EN,PSY,0,0,0.303101334
9,Pratyusha Tummala-Narra,F,EN,PSY,0,0,0.226810293
10,James William Anderson,M,EN,PSY,0,0,0.363660834
11,Danielle Knafo,F,EN,PSY,0,0,0.315773985
12,Ghislaine Boulanger,F,EN,PSY,0,0,0.242942686
13,Orna Afek,F,EN,PSY,0,0,0.175565611
14,Séamus A. Power,M,EN,PSY,0,0,0.166516381
15,Mariska Kappmeier,F,EN,PSY,0,0,0.113626177
16,Michael G. Wessells,M,EN,PSY,0,0,0.141567964
17,Aaro Toomela,M,EN,PSY,0,0,0.130824373
18,Mary Beth Morrissey,F,EN,PSY,0,0,0.182290076
19,Philip Cushman,M,EN,PSY,0,0,0.18892186
20,Erin D. Bigler,M,EN,PSY,0.049506539,0.437133916,0.102312925
21,Sarah A. Rendón García,F,EN,PSY,0,0,0.22374234
22,Riana Elyse Anderson,F,EN,PSY,0,0,0.127539913
23,Xu Li,M,EN,PSY,0,0,0.133926129
24,Joseph P. Gone,M,EN,PSY,0,0,0.159932088
25,Alexander K. Tatum,M,EN,PSY,0,0,0.103935804
26,Marc Applebaum,M,EN,PSY,0,0,0.204810753
27,Siby K. George,M,EN,PSY,0,0,0.148037543
28,Simon Wharne,M,EN,PSY,0,0,0.266413577
29,René J. Muller,M,EN,PSY,0,0,0.223186609
30,Belinda Siew,F,EN,PSY,0,0,0.198071867
1,Kristen Gunderson,F,FR,HIS,0.011620025,0.359833446,0.032292788
2,Jeremy John Walling,M,FR,HIS,0.02049513,0.514204545,0.039857932
3,Sara-Jane Vigneault,F,FR,HIS,0.005720545,0.331669912,0.017247706
4,Chloé Poitras-Raymond,F,FR,HIS,0.02208078,0.421106396,0.052435156
5,Thi Lam Dien Tran,F,FR,HIS,0.009221902,0.30845341,0.029897228
6,Amélia Lecousy,F,FR,HIS,0.031943088,0.444273957,0.071899529
7,Alexis Legaré Hamel,F,FR,HIS,0.026289926,0.486855037,0.053999495
8,Alissa Michalke,F,FR,HIS,0.00969017,0.302562795,0.03202697
9,Olivier Péloquin,M,FR,HIS,0.02825629,0.444788697,0.063527445
10,Maude Savaria,F,FR,HIS,0.03272135,0.490820255,0.066666667
11,Hanen Allouch,F,FR,HIS,0.034739739,0.457922495,0.075863796
12,Laurent Sabate,M,FR,HIS,0.03172738,0.514218566,0.061700183
13,Fanny Bieth,F,FR,HIS,0.032376983,0.440615483,0.073481266
14,Anne-Sophie Pratte,F,FR,HIS,0.022045591,0.483503299,0.045595533
15,Kim Girouard,F,FR,HIS,0.026260009,0.429816298,0.06109589
16,Jae Yeong Han,M,FR,HIS,0.027000437,0.477372103,0.056560568
17,Shao-Lan Hertel,F,FR,HIS,0.007490379,0.331638263,0.022585993
18,Frédérick Gosselin,M,FR,HIS,0.029423579,0.449588271,0.065445611
19,Julien Lehoux,M,FR,HIS,0.020982944,0.447037702,0.046937751
20,Beatrice Falcucci,F,FR,HIS,0.007742704,0.301220965,0.025704399
